timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552405244744,294,HTTP Request,200,,Thread Group 1-1,text,true,,5338,407,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,245,0,82
1552405244744,245,HTTP Request-0,302,,Thread Group 1-1,,true,,424,262,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/login,245,0,82
1552405244989,49,HTTP Request-1,200,,Thread Group 1-1,text,true,,4914,145,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405245036,256,HTTP Request,200,,Thread Group 1-2,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,203,0,43
1552405245036,203,HTTP Request-0,302,,Thread Group 1-2,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,203,0,43
1552405245239,53,HTTP Request-1,200,,Thread Group 1-2,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,53,0,0
1552405245326,252,HTTP Request,200,,Thread Group 1-3,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,202,0,43
1552405245326,202,HTTP Request-0,302,,Thread Group 1-3,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,202,0,43
1552405245528,50,HTTP Request-1,200,,Thread Group 1-3,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405245616,249,HTTP Request,200,,Thread Group 1-4,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,200,0,42
1552405245616,200,HTTP Request-0,302,,Thread Group 1-4,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,200,0,42
1552405245816,49,HTTP Request-1,200,,Thread Group 1-4,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405245901,262,HTTP Request,200,,Thread Group 1-5,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,212,0,42
1552405245901,212,HTTP Request-0,302,,Thread Group 1-5,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,212,0,42
1552405246113,50,HTTP Request-1,200,,Thread Group 1-5,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405246194,256,HTTP Request,200,,Thread Group 1-6,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,205,0,42
1552405246194,205,HTTP Request-0,302,,Thread Group 1-6,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,205,0,42
1552405246399,51,HTTP Request-1,200,,Thread Group 1-6,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405246477,272,HTTP Request,200,,Thread Group 1-7,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,211,0,42
1552405246477,211,HTTP Request-0,302,,Thread Group 1-7,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,211,0,42
1552405246688,61,HTTP Request-1,200,,Thread Group 1-7,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,61,0,0
1552405246766,347,HTTP Request,200,,Thread Group 1-8,text,true,,5338,407,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,229,0,42
1552405246766,229,HTTP Request-0,302,,Thread Group 1-8,,true,,424,262,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/login,229,0,42
1552405246995,118,HTTP Request-1,200,,Thread Group 1-8,text,true,,4914,145,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,118,0,0
1552405247056,305,HTTP Request,200,,Thread Group 1-9,text,true,,5338,407,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,255,0,103
1552405247056,255,HTTP Request-0,302,,Thread Group 1-9,,true,,424,262,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/login,255,0,103
1552405247311,50,HTTP Request-1,200,,Thread Group 1-9,text,true,,4914,145,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405247346,256,HTTP Request,200,,Thread Group 1-10,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,206,0,41
1552405247346,206,HTTP Request-0,302,,Thread Group 1-10,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,206,0,41
1552405247552,50,HTTP Request-1,200,,Thread Group 1-10,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405247633,262,HTTP Request,200,,Thread Group 1-11,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,209,0,43
1552405247633,209,HTTP Request-0,302,,Thread Group 1-11,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,209,0,43
1552405247842,53,HTTP Request-1,200,,Thread Group 1-11,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,53,0,0
1552405247921,287,HTTP Request,200,,Thread Group 1-12,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,234,0,43
1552405247921,234,HTTP Request-0,302,,Thread Group 1-12,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,234,0,43
1552405248155,53,HTTP Request-1,200,,Thread Group 1-12,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,53,0,0
1552405248212,375,HTTP Request,200,,Thread Group 1-13,text,true,,5338,407,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,322,0,42
1552405248212,322,HTTP Request-0,302,,Thread Group 1-13,,true,,424,262,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/login,322,0,42
1552405248534,53,HTTP Request-1,200,,Thread Group 1-13,text,true,,4914,145,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,53,0,0
1552405248502,286,HTTP Request,200,,Thread Group 1-14,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,234,0,43
1552405248502,234,HTTP Request-0,302,,Thread Group 1-14,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,234,0,43
1552405248736,52,HTTP Request-1,200,,Thread Group 1-14,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,52,0,0
1552405248792,308,HTTP Request,200,,Thread Group 1-15,text,true,,5338,407,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,246,0,43
1552405248792,246,HTTP Request-0,302,,Thread Group 1-15,,true,,424,262,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/login,246,0,43
1552405249038,62,HTTP Request-1,200,,Thread Group 1-15,text,true,,4914,145,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,62,0,0
1552405249076,265,HTTP Request,200,,Thread Group 1-16,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,212,0,44
1552405249076,212,HTTP Request-0,302,,Thread Group 1-16,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,212,0,44
1552405249288,53,HTTP Request-1,200,,Thread Group 1-16,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,53,0,0
1552405249369,249,HTTP Request,200,,Thread Group 1-17,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,200,0,42
1552405249369,200,HTTP Request-0,302,,Thread Group 1-17,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,200,0,42
1552405249569,49,HTTP Request-1,200,,Thread Group 1-17,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405249656,288,HTTP Request,200,,Thread Group 1-18,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,199,0,43
1552405249656,199,HTTP Request-0,302,,Thread Group 1-18,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,199,0,43
1552405249856,88,HTTP Request-1,200,,Thread Group 1-18,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,88,0,0
